data_year,survey_tag,integrated_var,dataset_var,value_source,frequency,example_values
2017,106,EXP_TRAVEL,m7_4_2,source_question,1537,"1,000元~未滿2,000元;10,000元~未滿15,000元;15,000元~未滿20,000元;2,000元~未滿3,000元;20,000元~未滿30,000元"
2021,110,EXP_ALCOHOL,h5,source_question,5409,"1,000元-未滿2,000元;10,000元-未滿15,000元;15,000元-未滿20,000元;2,000元-未滿3,000元;20,000元-未滿30,000元"
2021,110,EXP_BOOKS,h7_3_2,indicator_no_zero,3722,沒有這項支出
2021,110,EXP_BOOKS,h7_3_2,source_question,1687,"1,000元-未滿2,000元;10,000元-未滿15,000元;2,000元-未滿3,000元;3,000元-未滿4,000元;4,000元-未滿5,000元"
2021,110,EXP_CARE,h7_9_2,indicator_no_zero,5104,沒有這項支出
2021,110,EXP_CARE,h7_9_2,open_amount,18,100000;23000;25000;30000;33000
2021,110,EXP_CARE,h7_9_2,source_question,287,"1,000元-未滿2,000元;10,000元-未滿15,000元;15,000元-未滿20,000元;2,000元-未滿3,000元;20,000元-未滿30,000元"
2021,110,EXP_CLEANING,h7_1_2,indicator_no_zero,5319,沒有這項支出
2021,110,EXP_CLEANING,h7_1_2,source_question,90,"1,000元-未滿2,000元;15,000元-未滿20,000元;2,000元-未滿3,000元;20,000元-未滿30,000元;3,000元-未滿4,000元"
2021,110,EXP_CLOTHING,h7_7_2,indicator_no_zero,759,沒有這項支出
2021,110,EXP_CLOTHING,h7_7_2,open_amount,9,18000;30000;35000;40000;55000
2021,110,EXP_CLOTHING,h7_7_2,source_question,4641,"1,000元-未滿2,000元;10,000元-未滿15,000元;15,000元-未滿20,000元;2,000元-未滿3,000元;20,000元-未滿30,000元"
2021,110,EXP_DINING_LODGING,h7_6_2,indicator_no_zero,1752,沒有這項支出
2021,110,EXP_DINING_LODGING,h7_6_2,open_amount,62,100000;110000;120000;15000;20000
2021,110,EXP_DINING_LODGING,h7_6_2,source_question,3595,"1,000元-未滿2,000元;10,000元-未滿15,000元;15,000元-未滿20,000元;2,000元-未滿3,000元;20,000元-未滿30,000元"
2021,110,EXP_EDU_TUITION,h7_2_2,indicator_no_zero,3487,沒有這項支出
2021,110,EXP_EDU_TUITION,h7_2_2,open_amount,32,16000;20000;25000;30000;35000
2021,110,EXP_EDU_TUITION,h7_2_2,source_question,1890,"1,000元-未滿2,000元;10,000元-未滿15,000元;15,000元-未滿20,000元;2,000元-未滿3,000元;20,000元-未滿30,000元"
2021,110,EXP_FOOD,h1,source_question,5409,"10,000元-未滿12,000元;12,000元-未滿15,000元;15,000元-未滿20,000元;20,000元-未滿30,000元;3,000元-未滿5,000元"
2021,110,EXP_FURNITURE,h7_8_2,indicator_no_zero,2682,沒有這項支出
2021,110,EXP_FURNITURE,h7_8_2,open_amount,33,100000;125000;30000;31000;33000
2021,110,EXP_FURNITURE,h7_8_2,source_question,2694,"1,000元-未滿2,000元;10,000元-未滿15,000元;15,000元-未滿20,000元;2,000元-未滿3,000元;20,000元-未滿30,000元"
2021,110,EXP_HOUSING_UTIL,h2,source_question,5409,"1,000元-未滿1,500元;1,500元-未滿2,000元;10,000元-未滿15,000元;15,000元-未滿20,000元;2,000元-未滿2,500元"
2021,110,EXP_LOAN_INTEREST,h7_5_2,indicator_no_zero,4103,沒有這項支出
2021,110,EXP_LOAN_INTEREST,h7_5_2,open_amount,57,100000;15000;20000;27000;30000
2021,110,EXP_LOAN_INTEREST,h7_5_2,source_question,1249,"1,000元-未滿2,000元;10,000元-未滿15,000元;15,000元-未滿20,000元;2,000元-未滿3,000元;20,000元-未滿30,000元"
2021,110,EXP_MEDICAL,h4,source_question,5409,"1,000元-未滿2,000元;10,000元-未滿15,000元;15,000元-未滿20,000元;2,000元-未滿3,000元;20,000元-未滿30,000元"
2021,110,EXP_OTHER,h7_10_2,indicator_no_zero,2988,沒有這項支出
2021,110,EXP_OTHER,h7_10_2,open_amount,1,100000
2021,110,EXP_OTHER,h7_10_2,source_question,2420,"1,000元-未滿2,000元;10,000元-未滿15,000元;15,000元-未滿20,000元;2,000元-未滿3,000元;20,000元-未滿30,000元"
2021,110,EXP_TAX_INS_GIFT,h6,source_question,5409,"1,000元-未滿1,500元;1,500元-未滿2,000元;10,000元-未滿15,000元;15,000元-未滿20,000元;2,000元-未滿2,500元"
2021,110,EXP_TRANSPORT_COMM,h3,source_question,5409,"1,000元-未滿2,000元;10,000元-未滿15,000元;15,000元-未滿20,000元;2,000元-未滿3,000元;20,000元-未滿30,000元"
2021,110,EXP_TRAVEL,h7_4_2,indicator_no_zero,4005,沒有這項支出
2021,110,EXP_TRAVEL,h7_4_2,open_amount,6,30000;40000;50000
2021,110,EXP_TRAVEL,h7_4_2,source_question,1398,"1,000元-未滿2,000元;10,000元-未滿15,000元;15,000元-未滿20,000元;2,000元-未滿3,000元;20,000元-未滿30,000元"
